pieutiwbyo	dziwbyo	dziwbyoNguaidziw	syenjyongdziw	krenqhruadziw	nitpundziw	thongqitmra
09AD8	高					U+9AD8
09ADF	髟					U+9ADF
09AE3	髣		仿			U+9AE3
09AF9	髹					U+9AF9
09AFB	髻					U+9AFB
09B0D	鬍			胡		U+9B0D
09B1A	鬚			须		U+9B1A
09B1F	鬟					U+9B1F
09B23	鬣					U+9B23
09B25	鬥			斗		U+9B25
09B28	鬨		哄			U+9B28
09B2D	鬭		鬥	斗	闘	U+9B2D
09B2E	鬮			阄		U+9B2E
09B2F	鬯					U+9B2F
09B31	鬱			郁		U+9B31
09B3C	鬼					U+9B3C
09B42	魂					U+9B42
09B44	魄					U+9B44
09B48	魈					U+9B48
09B4D	魍					U+9B4D
09B5A	魚			鱼		U+9B5A
09B6F	魯			鲁		U+9B6F
09B74	魴			鲂		U+9B74
09B8B	鮋			鲉		U+9B8B
09B91	鮑			鲍		U+9B91
09B9A	鮚			鲒		U+9B9A
09B9C	鮜			鲘		U+9B9C
09BA3	鮣			䲟		U+9BA3
09BA6	鮦			鲖		U+9BA6
09BAA	鮪			鲔		U+9BAA
09BAB	鮫			鲛		U+9BAB
09BC0	鯀			鲧		U+9BC0
09BC9	鯉			鲤		U+9BC9
09BD6	鯖			鲭		U+9BD6
09BDB	鯛			鲷		U+9BDB
09BE0	鯠					U+9BE0
09BE4	鯤			鲲		U+9BE4
09BE5	鯥					U+9BE5
09BE8	鯨			鲸		U+9BE8
09BEA	鯪			鲮		U+9BEA
09C08	鰈			鲽		U+9C08
09C0D	鰍			鳅		U+9C0D
09C23	鰣			鲥		U+9C23
09C27	鰧			䲢		U+9C27
09C2C	鰬					U+9C2C
09C2F	鰯					U+9C2F
09C31	鰱			鲢		U+9C31
09C32	鰲			鳌		U+9C32
09C39	鰹			鲣		U+9C39
09C42	鱂			鳉		U+9C42
09C45	鱅			鳙		U+9C45
09C52	鱒			鳟		U+9C52
09C56	鱖			鳜		U+9C56
09C5F	鱟			鲎		U+9C5F
09C60	鱠			鲙		U+9C60
09C63	鱣			鳣		U+9C63
09C67	鱧			鳢		U+9C67
09C78	鱸			鲈		U+9C78
09CE9	鳩			鸠		U+9CE9
09CEC	鳬			凫		U+9CEC
09CF4	鳴			鸣		U+9CF4
09CF6	鳶			鸢		U+9CF6
09D07	鴇			鸨		U+9D07
09D1D	鴝			鸲		U+9D1D
09D1E	鴞			鸮		U+9D1E
09D23	鴣			鸪		U+9D23
09D2B	鴫					U+9D2B
09D30	鴰			鸹		U+9D30
09D3B	鴻			鸿		U+9D3B
09D3D	鴽					U+9D3D
09D3F	鴿			鸽		U+9D3F
09D41	鵁			䴔		U+9D41
09D42	鵂			鸺		U+9D42
09D50	鵐			鹀		U+9D50
09D5D	鵝			鹅		U+9D5D
09D73	鵳					U+9D73
09D7A	鵺					U+9D7A
09D7E	鵾			鹍		U+9D7E
09D84	鶄			䴖		U+9D84
09D8A	鶊			鹒		U+9D8A
09D8B	鶋					U+9D8B
09D92	鶒					U+9D92
09D96	鶖			鹙		U+9D96
09D98	鶘			鹕		U+9D98
09DB1	鶱			𬸣		U+9DB1
09DBA	鶺			鹡		U+9DBA
09DC0	鷀			鹚		U+9DC0
09DC4	鷄			鸡	鶏	U+9DC4
09DD3	鷓			鹧		U+9DD3
09DEE	鷮					U+9DEE
09DF2	鷲			鹫		U+9DF2
09DF3	鷳			鹇		U+9DF3
09DF4	鷴					U+9DF4
09DFA	鷺			鹭		U+9DFA
09DFD	鷽					U+9DFD
09DFE	鷾					U+9DFE
09E07	鸇			鹯		U+9E07
09E15	鸕			鸬		U+9E15
09E18	鸘			鹴		U+9E18
09E1C	鸜					U+9E1C
09E75	鹵			卤		U+9E75
09E7A	鹺			鹾		U+9E7A
09E7C	鹼		碱			U+9E7C
